Mês/Ano,Valor predito
dez./2058,485.99086315
jan./2059,486.17440446
fev./2059,486.35779489
mar./2059,486.5412545
abr./2059,486.72500367
maio/2059,486.90860179
jun./2059,487.09226917
jul./2059,487.27622645
ago./2059,487.4600325
set./2059,487.64390788
out./2059,487.82807349
nov./2059,488.0120877
dez./2059,488.19617132
...,...
dez./2064,499.37373076
jan./2065,499.5623263
fev./2065,499.75076681
mar./2065,499.93927839
abr./2065,500.12808752
maio/2065,500.31674144
jun./2065,500.50546652
jul./2065,500.69448947
ago./2065,500.88335704
set./2065,501.07229585
out./2065,501.26153288
nov./2065,501.45061434
dez./2065,501.63976713
...,...
out./2075,524.47769743
nov./2075,524.67553629
dez./2075,524.87344977
jan./2076,525.07167564
fev./2076,525.26973856
mar./2076,525.46787619
abr./2076,525.66632655
maio/2076,525.86461378
jun./2076,526.0629758
jul./2076,526.26165091
ago./2076,526.4601627
set./2076,526.65874937
out./2076,526.85764948
nov./2076,527.05638609
dez./2076,527.25519766
...,...
dez./2081,539.32703815
jan./2082,539.53072263
fev./2082,539.73423966
mar./2082,539.93783346
abr./2082,540.1417486
maio/2082,540.34549612
jun./2082,540.54932049
jul./2082,540.75346658
ago./2082,540.95744484
set./2082,541.16150005
out./2082,541.36587733
nov./2082,541.5700866
dez./2082,541.7743729
...,...
dez./2099,585.12002111
jan./2100,585.34099995
fev./2100,585.56179713
mar./2100,585.78267759
abr./2100,586.00390669
maio/2100,586.22495393
jun./2100,586.44608455
jul./2100,586.66756419
ago./2100,586.88886177
set./2100,587.11024282
out./2100,587.33197329
nov./2100,587.55352149
dez./2100,587.77515326
jan./2101,587.99713484
fev./2101,588.21893395
mar./2101,588.44081672
abr/2101,588.6630497
maio./2101,588.8851
jun./2101,589.10723405
jul./2101,589.32971872
ago./2101,589.55202049
set./2101,589.77440611
out./2101,589.99714274
nov./2101,590.21969627
dez./2101,590.44233375
