Mês/Ano,Valor predito,
dez./2058,499.80267198,
jan./2059,499.9927725,
fev./2059,500.18271726,
mar./2059,500.37273418,
abr./2059,500.56305153,
maio/2059,500.75321293,
jun./2059,500.94344658,
jul./2059,501.133981,
ago./2059,501.3243593,
set./2059,501.51480992,
out./2059,501.70556165,
nov./2059,501.89615709,
dez./2059,502.08682494,
...,...
out./2075,539.67580043,
nov./2075,539.88082058,
dez./2075,540.0859186,
jan./2076,540.29134091,
fev./2076,540.49659489,
mar./2076,540.70192685,
abr./2076,540.90758345,
maio/2076,541.11307154,
jun./2076,541.3186377,
jul./2076,541.52452886,
ago./2076,541.73025133,
set./2076,541.93605195,
out./2076,542.14217795,
nov./2076,542.34813506,
dez./2076,542.55417041,
...,...,
dez./2099,602.54418234,
jan./2100,602.77336071,
fev./2100,603.0023513,
mar./2100,603.23142889,
abr./2100,603.46086865,
maio./2100,603.69012043,
jun./2100,603.91945929,
jul./2100,604.14916075,
ago./2100,604.378674,
set./2100,604.60827445,
out./2100,604.8382379,
nov./2100,605.06801293,
dez./2100,605.29787525,
jan./2101,605.52810099,
fev./2101,605.75813809,
mar./2101,605.98826259,
abr./2101,606.21875092,
maio./2101,606.4490504,
jun./2101,606.67943737,
jul./2101,606.91018859,
ago./2101,607.14075074,
set./2101,607.37140048,
out./2101,607.6024149,
nov./2101,607.83324002,
dez./2101,608.06415284,
