Ano,Mês,Dados decimais,Média mês,Linear,Logarítmica,Exponencial
1958,3,"1958,2027","315,71","304,9861572","304,7181435","307,9752894"
1958,4,"1958,2877","317,45","305,1252234","304,8594616","308,0938327"
1958,5,"1958,3699","317,51","305,2597086","304,9961187","308,2085143"
1958,6,"1958,4548","317,27","305,3986111","305,1372585","308,3270077"
1958,7,"1958,537","315,87","305,5330963","305,2739039","308,4417762"
1958,8,"1958,6219","314,93","305,6719989","305,4150317","308,5603593"
1958,9,"1958,7068","313,21","305,8109015","305,5561533","308,678988"
1958,10,"1958,789","312,42","305,9453867","305,6927811","308,7938874"
1958,11,"1958,874","313,33","306,0844529","305,834057","308,9127458"
1958,12,"1958,9562","314,67","306,2189381","305,9706731","309,0277322"
1959,1,"1959,0411","315,58","306,3578407","306,1117707","309,1465406"
1959,2,"1959,126","316,49","306,4967433","306,2528621","309,2653946"
1959,3,"1959,2027","316,65","306,62223","306,3803211","309,3728085"
1959,4,"1959,2877","317,72","306,7612962","306,5215671","309,4918897"
1959,5,"1959,3699","318,29","306,8957814","306,6581544","309,6070918"
1959,6,"1959,4548","318,15","307,034684","306,7992222","309,7261229"
1959,7,"1959,537","316,54","307,1691692","306,9357979","309,8414121"
1959,8,"1959,6219","314,8","307,3080718","307,0768536","309,9605333"
1959,9,"1959,7068","313,84","307,4469744","307,2179033","310,0797003"
1959,10,"1959,789","313,33","307,5814596","307,3544614","310,1951211"
1959,11,"1959,874","314,81","307,7205258","307,4956651","310,3145188"
1959,12,"1959,9562","315,58","307,8550109","307,6322116","310,4300271"
1960,1,"1960,041","316,43","307,9937499","307,7730711","310,549234"
1960,2,"1960,1257","316,98","308,1323253","307,9137584","310,668346"
1960,3,"1960,2049","317,58","308,2619023","308,0453046","310,7797648"
1960,4,"1960,2896","319,03","308,4004776","308,1859801","310,8989652"
1960,5,"1960,3716","320,03","308,5346356","308,3221655","311,0144094"
1960,6,"1960,4563","319,58","308,673211","308,462829","311,1336998"
1960,7,"1960,5383","318,18","308,807369","308,5990028","311,2492312"
1960,8,"1960,623","315,9","308,9459443","308,7396544","311,3686116"
1960,9,"1960,7077","314,17","309,0845197","308,8802999","311,4880379"
1960,10,"1960,7896","313,83","309,2185141","309,0162902","311,6035598"
1960,11,"1960,8743",315,"309,3570894","309,1569238","311,7230762"
1960,12,"1960,9563","316,19","309,4912474","309,2930686","311,8388264"
1961,1,"1961,0411","316,89","309,6299864","309,4338562","311,9585743"
1961,2,"1961,126","317,7","309,768889","309,5748038","312,0785094"
1961,3,"1961,2027","318,54","309,8943758","309,7021328","312,1869003"
1961,4,"1961,2877","319,48","310,033442","309,8432347","312,3070647"
1961,5,"1961,3699","320,58","310,1679272","309,9796828","312,4233146"
1961,6,"1961,4548","319,77","310,3068297","310,1206067","312,5434285"
1961,7,"1961,537","318,56","310,4413149","310,2570431","312,6597664"
1961,8,"1961,6219","316,79","310,5802175","310,3979551","312,7799711"
1961,9,"1961,7068","314,99","310,7191201","310,5388609","312,9002221"
1961,10,"1961,789","315,31","310,8536053","310,6752798","313,0166928"
1961,11,"1961,874","316,1","310,9926715","310,8163396","313,1371765"
1961,12,"1961,9562","317,01","311,1271567","310,9527468","313,2537355"
1962,1,"1962,0411","317,94","311,2660593","311,0936287","313,3741686"
1962,2,"1962,126","318,55","311,4049619","311,2345044","313,4946479"
1962,3,"1962,2027","319,68","311,5304486","311,3617685","313,6035307"
1962,4,"1962,2877","320,57","311,6695148","311,5027985","313,7242403"
1962,5,"1962,3699","321,02","311,804","311,639177","313,8410178"
1962,6,"1962,4548","320,62","311,9429026","311,7800292","313,9616767"
1962,7,"1962,537","319,61","312,0773878","311,9163961","314,0785425"
1962,8,"1962,6219","317,4","312,2162904","312,0572362","314,1992927"
1962,9,"1962,7068","316,24","312,355193","312,1980702","314,3200893"
1962,10,"1962,789","315,42","312,4896782","312,3344196","314,4370886"
1962,11,"1962,874","316,69","312,6287444","312,4754075","314,5581191"
1962,12,"1962,9562","317,7","312,7632296","312,6117453","314,6752069"
1963,1,"1963,0411","318,74","312,9021321","312,7525554","314,7961865"
1963,2,"1963,126","319,07","313,0410347","312,8933593","314,9172126"
1963,3,"1963,2027","319,86","313,1665215","313,0205586","315,0265895"
1963,4,"1963,2877","321,38","313,3055877","313,1615168","315,1478468"
1963,5,"1963,3699","322,24","313,4400729","313,2978259","315,2651542"
1963,6,"1963,4548","321,49","313,5789755","313,4386062","315,3863606"
1963,7,"1963,537","319,74","313,7134607","313,5749037","315,5037568"
1963,8,"1963,6219","317,77","313,8523633","313,7156721","315,6250549"
1963,9,"1963,7068","316,21","313,9912658","313,8564344","315,7463996"
1963,10,"1963,789","315,99","314,125751","313,9927144","315,8639298"
1963,11,"1963,874","317,07","314,2648172","314,1336305","315,9855095"
